status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,A-001,IB2xMJ4BfLc99Jc4X45_,Y,,af8e1ac153c24bbd,af8e1ac153c24bbd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,A-002,IR2xMJ4BfLc99Jc4X45_,Y,,d9009439ff03214c,d9009439ff03214c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,A-003,Ih2xMJ4BfLc99Jc4X45_,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,A-004,Ix2xMJ4BfLc99Jc4X45_,Y,,aea1aa47987b6fda,aea1aa47987b6fda,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,A-005,JB2xMJ4BfLc99Jc4X45_,Y,,1ada171ca12369b1,1ada171ca12369b1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,A-006,JR2xMJ4BfLc99Jc4X45_,Y,,ceff37513c708793,ceff37513c708793,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,A-007,Jh2xMJ4BfLc99Jc4X45_,Y,,63e4eb05e078bc7b,63e4eb05e078bc7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,A-008,Jx2xMJ4BfLc99Jc4X45_,Y,,feaaa58866fa9a2e,feaaa58866fa9a2e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,A-009,KB2xMJ4BfLc99Jc4X45_,Y,,597504101cfc5cdb,597504101cfc5cdb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,A-010,KR2xMJ4BfLc99Jc4X45_,Y,,abbae577877e344f,abbae577877e344f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,A-011,Kh2xMJ4BfLc99Jc4X45_,Y,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,A-012,Kx2xMJ4BfLc99Jc4X45_,Y,,50293fcfe89a141f,50293fcfe89a141f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,A-013,LB2xMJ4BfLc99Jc4X45_,Y,,221618d395f73051,221618d395f73051,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,A-014,LR2xMJ4BfLc99Jc4X45_,Y,,b01b053514a6e0bc,b01b053514a6e0bc,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,14,14,A-015,Lh2xMJ4BfLc99Jc4X45_,Y,,4eb047d23122bfdf,4eb047d23122bfdf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,15,15,A-016,Lx2xMJ4BfLc99Jc4X45_,Y,,2f826531bf41c1b7,2f826531bf41c1b7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,16,16,A-017,MB2xMJ4BfLc99Jc4X45_,Y,,c6185d12ba9ea752,c6185d12ba9ea752,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,17,17,A-018,MR2xMJ4BfLc99Jc4X45_,Y,,2a205804ddc4af19,2a205804ddc4af19,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,18,18,A-019,Mh2xMJ4BfLc99Jc4X45_,Y,,0bd4e816b9b9021b,0bd4e816b9b9021b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
