axis,step1,step2,end_to_end,trend
A1_tu_count_retention,100.0,100.0,100.0,stable_high
A2_text_retention,15.15,15.15,15.15,minor_variation
A2b_pure_text_retention,100.0,100.0,100.0,stable_high
A3_inline_tag_count_retention,100.0,100.0,100.0,stable_high
A3b_tag_introduction_ratio,0.0,0.0,0.0,minor_variation
A4_inline_tag_type_retention,100.0,100.0,100.0,stable_high
A4b_inline_tag_type_multiset_retention,100.0,100.0,100.0,stable_high
A5_bpt_ept_pairing_retention,100.0,100.0,100.0,stable_high
A6_dom_nesting_retention,,,,insufficient_data
A6b_dom_nesting_introduction_ratio,0.0,0.0,0.0,minor_variation
A7_attribute_key_retention,100.0,66.67,100.0,cumulative_degradation
A8_attribute_value_retention,100.0,66.67,100.0,cumulative_degradation
A9a_header_field_presence_retention,100.0,100.0,100.0,stable_high
A9b_header_value_retention,16.67,16.67,100.0,minor_variation
A10a_prop_type_retention,0.0,50.0,66.67,oscillating_or_tool_specific_rewrite
A10a_strict_prop_type_retention_per_tu,0.0,0.0,0.0,minor_variation
A10b_prop_value_retention,0.0,50.0,66.67,oscillating_or_tool_specific_rewrite
A11a_language_strict_retention,0.0,0.0,100.0,minor_variation
A11b_language_case_normalised_retention,99.5,99.5,100.0,stable_high
A12_tuid_retention,0.0,,0.0,insufficient_data
