axis,step1,step2,step3,step4,end_to_end,trend
A1_tu_count_retention,100.0,100.0,100.0,100.0,100.0,stable_high
A2_text_retention,0.0,0.0,0.0,0.0,5.56,minor_variation
A2b_pure_text_retention,2.02,4.04,88.38,100.0,5.56,oscillating_or_tool_specific_rewrite
A3_inline_tag_count_retention,199.78,89.66,100.0,100.0,179.13,oscillating_or_tool_specific_rewrite
A3b_tag_introduction_ratio,99.78,0.0,0.0,0.0,79.13,cumulative_degradation
A4_inline_tag_type_retention,35.22,91.32,100.0,100.0,35.33,oscillating_or_tool_specific_rewrite
A4b_inline_tag_type_multiset_retention,100.0,89.66,100.0,100.0,100.0,oscillating_or_tool_specific_rewrite
A5_bpt_ept_pairing_retention,201.1,0.0,,100.0,201.1,oscillating_or_tool_specific_rewrite
A6_dom_nesting_retention,,,,,,insufficient_data
A6b_dom_nesting_introduction_ratio,0.0,0.0,0.0,0.0,0.0,minor_variation
A7_attribute_key_retention,51.87,69.9,61.28,100.0,76.32,oscillating_or_tool_specific_rewrite
A8_attribute_value_retention,22.9,17.91,15.49,75.82,48.13,oscillating_or_tool_specific_rewrite
A9a_header_field_presence_retention,100.0,66.67,100.0,66.67,100.0,oscillating_or_tool_specific_rewrite
A9b_header_value_retention,25.0,16.67,25.0,16.67,100.0,minor_variation
A10a_prop_type_retention,,0.0,,0.0,,minor_variation
A10a_strict_prop_type_retention_per_tu,,0.0,,0.0,,minor_variation
A10b_prop_value_retention,,0.0,,0.0,,minor_variation
A11a_language_strict_retention,0.0,0.0,0.0,0.0,100.0,minor_variation
A11b_language_case_normalised_retention,99.5,99.5,99.5,99.5,100.0,stable_high
A12_tuid_retention,0.0,0.0,100.0,0.0,0.0,oscillating_or_tool_specific_rewrite
